position,champion id,win rate
0.0,266.0,0.491
1.0,266.0,0.5
2.0,266.0,0.571
3.0,266.0,0.5
4.0,266.0,0.5
0.0,103.0,0.6
1.0,103.0,0.5
2.0,103.0,0.522
3.0,103.0,0.286
4.0,103.0,0.6
0.0,84.0,0.451
1.0,84.0,0.5
2.0,84.0,0.511
3.0,84.0,0.5
4.0,84.0,0.5
0.0,166.0,0.596
1.0,166.0,0.5
2.0,166.0,0.51
3.0,166.0,0.486
4.0,166.0,0.667
0.0,12.0,1.0
1.0,12.0,0.0
2.0,12.0,0.0
3.0,12.0,0.5
4.0,12.0,0.496
0.0,32.0,0.5
1.0,32.0,0.567
2.0,32.0,0.0
3.0,32.0,0.5
4.0,32.0,0.538
0.0,34.0,0.429
1.0,34.0,0.5
2.0,34.0,0.438
3.0,34.0,1.0
4.0,34.0,0.491
0.0,1.0,0.294
1.0,1.0,0.0
2.0,1.0,0.456
3.0,1.0,1.0
4.0,1.0,0.571
0.0,523.0,0.5
1.0,523.0,0.5
2.0,523.0,0.5
3.0,523.0,0.496
4.0,523.0,0.5
0.0,22.0,0.5
1.0,22.0,0.5
2.0,22.0,0.0
3.0,22.0,0.483
4.0,22.0,0.0
0.0,136.0,0.5
1.0,136.0,0.5
2.0,136.0,0.387
3.0,136.0,0.5
4.0,136.0,0.5
0.0,268.0,0.429
1.0,268.0,0.5
2.0,268.0,0.545
3.0,268.0,0.667
4.0,268.0,0.5
0.0,432.0,0.5
1.0,432.0,0.5
2.0,432.0,0.5
3.0,432.0,0.0
4.0,432.0,0.482
0.0,53.0,0.5
1.0,53.0,0.5
2.0,53.0,0.0
3.0,53.0,0.5
4.0,53.0,0.554
0.0,63.0,0.0
1.0,63.0,0.5
2.0,63.0,0.458
3.0,63.0,0.278
4.0,63.0,0.498
0.0,201.0,0.5
1.0,201.0,0.5
2.0,201.0,0.5
3.0,201.0,0.5
4.0,201.0,0.498
0.0,51.0,0.0
1.0,51.0,0.5
2.0,51.0,0.667
3.0,51.0,0.509
4.0,51.0,0.5
0.0,164.0,0.506
1.0,164.0,0.75
2.0,164.0,0.35
3.0,164.0,0.5
4.0,164.0,0.4
0.0,69.0,0.565
1.0,69.0,0.5
2.0,69.0,0.569
3.0,69.0,0.339
4.0,69.0,0.5
0.0,31.0,0.504
1.0,31.0,0.4
2.0,31.0,0.6
3.0,31.0,0.0
4.0,31.0,0.8
0.0,42.0,0.489
1.0,42.0,0.5
2.0,42.0,0.578
3.0,42.0,0.714
4.0,42.0,0.5
0.0,122.0,0.464
1.0,122.0,0.5
2.0,122.0,0.4
3.0,122.0,0.5
4.0,122.0,0.0
0.0,131.0,0.667
1.0,131.0,0.492
2.0,131.0,0.537
3.0,131.0,1.0
4.0,131.0,0.5
0.0,119.0,0.455
1.0,119.0,0.5
2.0,119.0,0.5
3.0,119.0,0.507
4.0,119.0,0.5
0.0,36.0,0.491
1.0,36.0,0.4
2.0,36.0,0.0
3.0,36.0,0.0
4.0,36.0,0.5
0.0,245.0,0.75
1.0,245.0,0.515
2.0,245.0,0.428
3.0,245.0,0.5
4.0,245.0,0.25
0.0,60.0,0.5
1.0,60.0,0.439
2.0,60.0,0.5
3.0,60.0,0.5
4.0,60.0,0.667
0.0,28.0,0.5
1.0,28.0,0.513
2.0,28.0,0.0
3.0,28.0,0.5
4.0,28.0,0.5
0.0,81.0,0.5
1.0,81.0,0.0
2.0,81.0,0.429
3.0,81.0,0.494
4.0,81.0,0.5
0.0,9.0,0.0
1.0,9.0,0.509
2.0,9.0,0.0
3.0,9.0,0.0
4.0,9.0,0.0
0.0,114.0,0.512
1.0,114.0,0.5
2.0,114.0,0.4
3.0,114.0,0.0
4.0,114.0,0.5
0.0,105.0,0.0
1.0,105.0,0.5
2.0,105.0,0.541
3.0,105.0,0.5
4.0,105.0,0.5
0.0,3.0,0.5
1.0,3.0,0.5
2.0,3.0,0.516
3.0,3.0,0.0
4.0,3.0,0.522
0.0,41.0,0.452
1.0,41.0,0.0
2.0,41.0,0.312
3.0,41.0,0.5
4.0,41.0,0.5
0.0,86.0,0.409
1.0,86.0,0.5
2.0,86.0,0.533
3.0,86.0,0.5
4.0,86.0,0.5
0.0,150.0,0.49
1.0,150.0,0.5
2.0,150.0,0.5
3.0,150.0,0.5
4.0,150.0,0.5
0.0,79.0,0.485
1.0,79.0,0.504
2.0,79.0,0.533
3.0,79.0,0.5
4.0,79.0,0.46
0.0,104.0,0.417
1.0,104.0,0.489
2.0,104.0,0.491
3.0,104.0,0.0
4.0,104.0,0.5
0.0,887.0,0.507
1.0,887.0,0.286
2.0,887.0,0.231
3.0,887.0,0.5
4.0,887.0,0.5
0.0,120.0,0.5
1.0,120.0,0.488
2.0,120.0,0.5
3.0,120.0,0.5
4.0,120.0,0.5
0.0,74.0,0.424
1.0,74.0,0.5
2.0,74.0,0.548
3.0,74.0,0.575
4.0,74.0,0.571
0.0,420.0,0.5
1.0,420.0,0.5
2.0,420.0,0.75
3.0,420.0,0.5
4.0,420.0,0.5
0.0,39.0,0.487
1.0,39.0,0.5
2.0,39.0,0.477
3.0,39.0,0.5
4.0,39.0,0.5
0.0,427.0,1.0
1.0,427.0,0.547
2.0,427.0,0.0
3.0,427.0,0.5
4.0,427.0,1.0
0.0,40.0,0.0
1.0,40.0,0.5
2.0,40.0,0.333
3.0,40.0,0.5
4.0,40.0,0.52
0.0,59.0,0.5
1.0,59.0,0.528
2.0,59.0,0.429
3.0,59.0,0.5
4.0,59.0,0.529
0.0,24.0,0.531
1.0,24.0,0.0
2.0,24.0,0.462
3.0,24.0,0.5
4.0,24.0,0.5
0.0,126.0,0.481
1.0,126.0,0.0
2.0,126.0,0.295
3.0,126.0,1.0
4.0,126.0,0.5
0.0,202.0,0.0
1.0,202.0,0.0
2.0,202.0,0.0
3.0,202.0,0.509
4.0,202.0,0.5
0.0,222.0,0.5
1.0,222.0,0.5
2.0,222.0,0.5
3.0,222.0,0.487
4.0,222.0,0.5
0.0,145.0,0.5
1.0,145.0,0.0
2.0,145.0,0.5
3.0,145.0,0.498
4.0,145.0,0.5
0.0,429.0,0.5
1.0,429.0,0.5
2.0,429.0,0.5
3.0,429.0,0.438
4.0,429.0,0.0
0.0,43.0,0.589
1.0,43.0,0.5
2.0,43.0,0.417
3.0,43.0,0.5
4.0,43.0,0.44
0.0,30.0,0.8
1.0,30.0,0.47
2.0,30.0,0.5
3.0,30.0,0.575
4.0,30.0,0.429
0.0,38.0,0.556
1.0,38.0,0.5
2.0,38.0,0.476
3.0,38.0,0.5
4.0,38.0,0.5
0.0,55.0,0.5
1.0,55.0,0.5
2.0,55.0,0.5
3.0,55.0,0.0
4.0,55.0,0.0
0.0,10.0,0.473
1.0,10.0,0.5
2.0,10.0,0.471
3.0,10.0,0.5
4.0,10.0,0.5
0.0,141.0,0.5
1.0,141.0,0.494
2.0,141.0,0.455
3.0,141.0,0.5
4.0,141.0,0.0
0.0,85.0,0.512
1.0,85.0,0.5
2.0,85.0,0.569
3.0,85.0,0.0
4.0,85.0,0.167
0.0,121.0,0.375
1.0,121.0,0.491
2.0,121.0,0.333
3.0,121.0,0.5
4.0,121.0,0.5
0.0,203.0,0.5
1.0,203.0,0.556
2.0,203.0,0.582
3.0,203.0,0.5
4.0,203.0,0.0
0.0,240.0,0.444
1.0,240.0,0.0
2.0,240.0,0.606
3.0,240.0,1.0
4.0,240.0,0.5
0.0,96.0,0.5
1.0,96.0,0.0
2.0,96.0,0.433
3.0,96.0,0.455
4.0,96.0,0.5
0.0,7.0,0.6
1.0,7.0,0.5
2.0,7.0,0.522
3.0,7.0,0.5
4.0,7.0,0.667
0.0,64.0,0.4
1.0,64.0,0.474
2.0,64.0,0.5
3.0,64.0,0.5
4.0,64.0,0.0
0.0,89.0,0.5
1.0,89.0,0.0
2.0,89.0,0.5
3.0,89.0,0.5
4.0,89.0,0.503
0.0,876.0,0.5
1.0,876.0,0.46
2.0,876.0,0.0
3.0,876.0,0.5
4.0,876.0,0.5
0.0,127.0,0.565
1.0,127.0,0.5
2.0,127.0,0.473
3.0,127.0,0.0
4.0,127.0,0.25
0.0,236.0,0.462
1.0,236.0,0.0
2.0,236.0,0.351
3.0,236.0,0.5
4.0,236.0,0.5
0.0,117.0,0.333
1.0,117.0,0.5
2.0,117.0,0.417
3.0,117.0,0.5
4.0,117.0,0.479
0.0,99.0,1.0
1.0,99.0,0.5
2.0,99.0,0.456
3.0,99.0,0.571
4.0,99.0,0.431
0.0,54.0,0.491
1.0,54.0,0.333
2.0,54.0,0.404
3.0,54.0,0.5
4.0,54.0,0.5
0.0,90.0,0.727
1.0,90.0,0.5
2.0,90.0,0.444
3.0,90.0,0.0
4.0,90.0,1.0
0.0,57.0,0.348
1.0,57.0,0.5
2.0,57.0,0.5
3.0,57.0,1.0
4.0,57.0,0.522
0.0,11.0,0.4
1.0,11.0,0.459
2.0,11.0,0.333
3.0,11.0,0.5
4.0,11.0,0.5
0.0,21.0,0.5
1.0,21.0,0.5
2.0,21.0,0.333
3.0,21.0,0.476
4.0,21.0,0.4
0.0,62.0,0.514
1.0,62.0,0.25
2.0,62.0,0.6
3.0,62.0,0.5
4.0,62.0,1.0
0.0,82.0,0.464
1.0,82.0,0.351
2.0,82.0,0.588
3.0,82.0,0.5
4.0,82.0,0.0
0.0,25.0,0.667
1.0,25.0,0.5
2.0,25.0,0.455
3.0,25.0,0.667
4.0,25.0,0.53
0.0,267.0,0.5
1.0,267.0,0.5
2.0,267.0,0.5
3.0,267.0,0.5
4.0,267.0,0.492
0.0,75.0,0.455
1.0,75.0,0.75
2.0,75.0,0.552
3.0,75.0,0.5
4.0,75.0,0.5
0.0,111.0,0.0
1.0,111.0,0.5
2.0,111.0,0.333
3.0,111.0,0.5
4.0,111.0,0.513
0.0,518.0,0.308
1.0,518.0,0.0
2.0,518.0,0.54
3.0,518.0,0.2
4.0,518.0,0.6
0.0,76.0,0.429
1.0,76.0,0.505
2.0,76.0,0.5
3.0,76.0,0.5
4.0,76.0,0.0
0.0,56.0,0.696
1.0,56.0,0.496
2.0,56.0,0.0
3.0,56.0,0.5
4.0,56.0,0.5
0.0,20.0,0.0
1.0,20.0,0.537
2.0,20.0,0.483
3.0,20.0,0.5
4.0,20.0,0.333
0.0,2.0,0.556
1.0,2.0,0.511
2.0,2.0,1.0
3.0,2.0,0.5
4.0,2.0,0.5
0.0,61.0,0.5
1.0,61.0,0.5
2.0,61.0,0.459
3.0,61.0,1.0
4.0,61.0,0.25
0.0,516.0,0.503
1.0,516.0,0.0
2.0,516.0,0.286
3.0,516.0,0.5
4.0,516.0,1.0
0.0,80.0,0.465
1.0,80.0,1.0
2.0,80.0,0.527
3.0,80.0,0.5
4.0,80.0,0.415
0.0,78.0,0.55
1.0,78.0,0.453
2.0,78.0,0.333
3.0,78.0,0.5
4.0,78.0,0.5
0.0,555.0,0.5
1.0,555.0,0.5
2.0,555.0,0.576
3.0,555.0,0.571
4.0,555.0,0.495
0.0,246.0,0.714
1.0,246.0,0.437
2.0,246.0,0.504
3.0,246.0,0.0
4.0,246.0,0.333
0.0,133.0,0.518
1.0,133.0,0.5
2.0,133.0,0.167
3.0,133.0,0.667
4.0,133.0,0.5
0.0,497.0,0.5
1.0,497.0,0.5
2.0,497.0,1.0
3.0,497.0,0.5
4.0,497.0,0.495
0.0,33.0,0.5
1.0,33.0,0.462
2.0,33.0,0.5
3.0,33.0,0.5
4.0,33.0,0.5
0.0,421.0,0.333
1.0,421.0,0.539
2.0,421.0,0.5
3.0,421.0,0.5
4.0,421.0,0.5
0.0,526.0,0.5
1.0,526.0,0.5
2.0,526.0,0.5
3.0,526.0,0.5
4.0,526.0,0.508
0.0,58.0,0.49
1.0,58.0,0.5
2.0,58.0,0.438
3.0,58.0,0.5
4.0,58.0,0.5
0.0,107.0,0.528
1.0,107.0,0.562
2.0,107.0,0.0
3.0,107.0,1.0
4.0,107.0,0.5
0.0,92.0,0.558
1.0,92.0,0.5
2.0,92.0,0.538
3.0,92.0,1.0
4.0,92.0,0.5
0.0,68.0,0.552
1.0,68.0,0.512
2.0,68.0,0.575
3.0,68.0,0.5
4.0,68.0,0.0
0.0,13.0,0.364
1.0,13.0,0.5
2.0,13.0,0.464
3.0,13.0,0.5
4.0,13.0,0.5
0.0,360.0,0.0
1.0,360.0,1.0
2.0,360.0,0.333
3.0,360.0,0.499
4.0,360.0,0.5
0.0,113.0,0.316
1.0,113.0,0.494
2.0,113.0,0.333
3.0,113.0,0.5
4.0,113.0,0.5
0.0,235.0,0.5
1.0,235.0,0.0
2.0,235.0,0.5
3.0,235.0,0.414
4.0,235.0,0.549
0.0,147.0,0.25
1.0,147.0,0.5
2.0,147.0,0.509
3.0,147.0,0.526
4.0,147.0,0.406
0.0,875.0,0.504
1.0,875.0,0.333
2.0,875.0,0.561
3.0,875.0,0.75
4.0,875.0,0.431
0.0,35.0,0.25
1.0,35.0,0.509
2.0,35.0,0.0
3.0,35.0,0.5
4.0,35.0,0.368
0.0,98.0,0.502
1.0,98.0,0.5
2.0,98.0,0.75
3.0,98.0,0.5
4.0,98.0,0.459
0.0,102.0,0.5
1.0,102.0,0.48
2.0,102.0,1.0
3.0,102.0,0.5
4.0,102.0,0.5
0.0,27.0,0.55
1.0,27.0,0.5
2.0,27.0,0.5
3.0,27.0,1.0
4.0,27.0,0.5
0.0,14.0,0.479
1.0,14.0,0.273
2.0,14.0,0.444
3.0,14.0,0.0
4.0,14.0,0.0
0.0,15.0,0.5
1.0,15.0,0.0
2.0,15.0,1.0
3.0,15.0,0.454
4.0,15.0,0.5
0.0,72.0,0.577
1.0,72.0,0.5
2.0,72.0,0.0
3.0,72.0,0.5
4.0,72.0,0.5
0.0,37.0,0.5
1.0,37.0,0.0
2.0,37.0,1.0
3.0,37.0,0.571
4.0,37.0,0.517
0.0,16.0,0.588
1.0,16.0,0.5
2.0,16.0,0.529
3.0,16.0,0.409
4.0,16.0,0.533
0.0,50.0,0.667
1.0,50.0,0.5
2.0,50.0,0.641
3.0,50.0,0.59
4.0,50.0,0.556
0.0,517.0,0.457
1.0,517.0,0.364
2.0,517.0,0.511
3.0,517.0,1.0
4.0,517.0,0.406
0.0,134.0,1.0
1.0,134.0,0.5
2.0,134.0,0.466
3.0,134.0,0.5
4.0,134.0,1.0
0.0,223.0,0.461
1.0,223.0,0.5
2.0,223.0,0.4
3.0,223.0,0.0
4.0,223.0,0.286
0.0,163.0,0.5
1.0,163.0,0.551
2.0,163.0,0.457
3.0,163.0,0.6
4.0,163.0,0.449
0.0,91.0,0.571
1.0,91.0,0.469
2.0,91.0,0.562
3.0,91.0,0.5
4.0,91.0,0.5
0.0,44.0,0.5
1.0,44.0,0.468
2.0,44.0,0.5
3.0,44.0,0.5
4.0,44.0,0.433
0.0,17.0,0.507
1.0,17.0,0.75
2.0,17.0,0.75
3.0,17.0,1.0
4.0,17.0,0.5
0.0,412.0,0.5
1.0,412.0,0.5
2.0,412.0,0.5
3.0,412.0,0.5
4.0,412.0,0.509
0.0,18.0,0.556
1.0,18.0,0.5
2.0,18.0,0.463
3.0,18.0,0.5
4.0,18.0,0.5
0.0,48.0,0.466
1.0,48.0,0.517
2.0,48.0,0.5
3.0,48.0,0.5
4.0,48.0,0.523
0.0,23.0,0.518
1.0,23.0,0.0
2.0,23.0,0.445
3.0,23.0,1.0
4.0,23.0,1.0
0.0,4.0,0.5
1.0,4.0,0.5
2.0,4.0,0.523
3.0,4.0,0.0
4.0,4.0,0.5
0.0,29.0,0.5
1.0,29.0,1.0
2.0,29.0,0.5
3.0,29.0,0.494
4.0,29.0,0.429
0.0,77.0,0.0
1.0,77.0,0.674
2.0,77.0,0.5
3.0,77.0,0.5
4.0,77.0,0.5
0.0,6.0,0.5
1.0,6.0,0.0
2.0,6.0,0.167
3.0,6.0,0.5
4.0,6.0,0.5
0.0,110.0,0.5
1.0,110.0,0.5
2.0,110.0,0.0
3.0,110.0,0.466
4.0,110.0,0.5
0.0,67.0,0.4
1.0,67.0,0.0
2.0,67.0,0.421
3.0,67.0,0.534
4.0,67.0,0.5
0.0,45.0,0.0
1.0,45.0,0.0
2.0,45.0,0.494
3.0,45.0,0.534
4.0,45.0,0.44
0.0,161.0,0.5
1.0,161.0,0.5
2.0,161.0,0.429
3.0,161.0,0.8
4.0,161.0,0.453
0.0,711.0,0.455
1.0,711.0,0.5
2.0,711.0,0.481
3.0,711.0,0.487
4.0,711.0,0.314
0.0,254.0,0.5
1.0,254.0,0.576
2.0,254.0,0.167
3.0,254.0,0.5
4.0,254.0,0.5
0.0,234.0,0.522
1.0,234.0,0.482
2.0,234.0,0.397
3.0,234.0,0.5
4.0,234.0,0.333
0.0,112.0,0.556
1.0,112.0,0.5
2.0,112.0,0.495
3.0,112.0,0.2
4.0,112.0,0.5
0.0,8.0,0.5
1.0,8.0,0.5
2.0,8.0,0.532
3.0,8.0,0.143
4.0,8.0,0.5
0.0,106.0,0.594
1.0,106.0,0.436
2.0,106.0,0.5
3.0,106.0,0.5
4.0,106.0,0.5
0.0,19.0,0.632
1.0,19.0,0.381
2.0,19.0,0.5
3.0,19.0,0.5
4.0,19.0,0.5
0.0,498.0,0.5
1.0,498.0,0.5
2.0,498.0,0.5
3.0,498.0,0.505
4.0,498.0,0.5
0.0,101.0,0.5
1.0,101.0,0.5
2.0,101.0,0.479
3.0,101.0,0.441
4.0,101.0,0.406
0.0,5.0,0.0
1.0,5.0,0.519
2.0,5.0,0.5
3.0,5.0,0.0
4.0,5.0,0.5
0.0,157.0,0.495
1.0,157.0,1.0
2.0,157.0,0.519
3.0,157.0,0.608
4.0,157.0,0.5
0.0,777.0,0.514
1.0,777.0,0.5
2.0,777.0,0.511
3.0,777.0,0.484
4.0,777.0,0.5
0.0,83.0,0.226
1.0,83.0,0.5
2.0,83.0,0.0
3.0,83.0,0.5
4.0,83.0,0.5
0.0,350.0,0.0
1.0,350.0,0.5
2.0,350.0,0.0
3.0,350.0,0.5
4.0,350.0,0.505
0.0,154.0,0.483
1.0,154.0,0.544
2.0,154.0,0.5
3.0,154.0,1.0
4.0,154.0,0.467
0.0,238.0,0.444
1.0,238.0,0.482
2.0,238.0,0.52
3.0,238.0,0.25
4.0,238.0,0.5
0.0,115.0,0.0
1.0,115.0,0.5
2.0,115.0,0.466
3.0,115.0,0.501
4.0,115.0,0.333
0.0,26.0,0.667
1.0,26.0,0.5
2.0,26.0,0.441
3.0,26.0,0.714
4.0,26.0,0.508
0.0,142.0,0.576
1.0,142.0,0.5
2.0,142.0,0.534
3.0,142.0,0.5
4.0,142.0,0.526
0.0,143.0,0.0
1.0,143.0,0.5
2.0,143.0,0.375
3.0,143.0,0.5
4.0,143.0,0.519
